,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,3,,
BE_Ag 3d 2,CPS_Ag 3d 2,Ag 3d_1_Ag 3d 2,Ag 3d_2_Ag 3d 2,Background_Ag 3d 2,Envelope_Ag 3d 2
369.6,25077.7,24915.6,24891.7,24890.4,24916.9
369.475,25138.3,24922,24890.6,24889.5,24923.2
369.35,25019.7,24932.3,24890,24889,24933.4
369.225,25038.3,24948.5,24889.4,24888.4,24949.5
369.1,25141,24974.8,24888.3,24887.5,24975.7
368.975,25125,25019.9,24887.4,24886.6,25020.8
368.85,25227.7,25098.1,24886,24885.3,25098.8
368.725,25431,25232,24883.9,24883.2,25232.7
368.6,25638,25453.6,24881.1,24880.4,25454.2
368.475,25954.7,25797.6,24877,24876.4,25798.2
368.35,26228.3,26288.8,24871.9,24871.3,26289.3
368.225,26832,26918.4,24864.5,24863.9,26918.9
368.1,27548.7,27626.6,24854.4,24853.9,27627.1
367.975,28039.3,28299.8,24842.4,24841.9,28300.3
367.85,28751.3,28792.6,24827.7,24827.3,28793
367.725,28882.7,28982,24812.4,24812,28982.4
367.6,29092.7,28813.4,24796.4,24796,28813.7
367.475,28249.7,28331.4,24783.4,24783,28331.7
367.35,27690,27652.3,24772.5,24772.1,27652.7
367.225,26842.7,26922.6,24764.7,24764.4,26922.9
367.1,26228,26262.9,24759.2,24758.9,26263.2
366.975,25452,25741.6,24756.5,24756.3,25741.8
366.85,25351,25370.3,24754.3,24754,25370.6
366.725,25124.7,25128.4,24752.9,24752.7,25128.6
366.6,24928.3,24980.8,24752.2,24752,24981
366.475,24917.3,24894,24751.6,24751.4,24894.2
366.35,24850.3,24843.7,24751.2,24751,24844
366.225,24837,24814,24750.9,24750.7,24814.2
366.1,24802.7,24795.9,24750.7,24750.5,24796.1
365.975,24939.7,24783.7,24750,24749.8,24783.9
365.85,24713.7,24775.8,24749.8,24749.6,24776
365.725,24645.3,24770,24749.4,24749.2,24770.1
365.6,24787,24765.8,24749.3,24749.1,24766
365.475,24750.3,24762.8,24749.3,24749.1,24763
365.35,24630.3,24760.1,24748.8,24748.7,24760.2
365.225,24575,24757.6,24748.1,24748,24757.8
365.1,24516,24755.3,24747.3,24747.2,24755.4
364.975,24690.7,24753.9,24747.1,24746.9,24754.1
364.85,24813.7,24752.7,24746.8,24746.7,24752.9
364.725,24753,24751.9,24746.8,24746.7,24752
364.6,24673.3,24677.9,24673.4,24673.3,24678.1
364.475,24778.7,24782.7,24778.8,24778.7,24782.8
364.35,24798.7,24802.3,24798.8,24798.7,24802.4
364.225,24740.7,24743.9,24740.8,24740.7,24744
364.1,24779.7,24782.5,24779.8,24779.7,24782.6
363.975,24799.7,24802.2,24799.8,24799.7,24802.3
363.85,24699.7,24702,24699.8,24699.7,24702.1
363.725,24775.7,24777.8,24775.7,24775.7,24777.9
363.6,24723,24724.9,24723.1,24723,24725
