,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,0.75,,
BE_Au 4f 1,CPS_Au 4f 1,Au 4f_1_Au 4f 1,Au 4f_2_Au 4f 1,Background_Au 4f 1,Envelope_Au 4f 1
99.3,10229.3,10229.9,10230.3,10229.3,10230.8
99.175,9758.67,9759.23,9759.65,9758.67,9760.21
99.05,10142.7,10143.2,10143.7,10142.7,10144.3
98.925,10192,10192.6,10193.1,10192,10193.6
98.8,9958.67,9959.27,9959.76,9958.67,9960.36
98.675,9952,9952.62,9953.13,9952,9953.75
98.55,9761.33,9761.97,9762.5,9761.33,9763.14
98.425,9922.67,9923.32,9923.88,9922.67,9924.53
98.3,9810.67,9811.34,9811.92,9810.67,9812.59
98.175,9670.67,9671.36,9671.97,9670.67,9672.66
98.05,9804,9804.71,9805.35,9804,9806.06
97.925,9916,9916.73,9917.4,9916,9918.13
97.8,9660,9660.75,9661.45,9660,9662.21
97.675,9728,9728.77,9729.51,9728,9730.28
97.55,9650.67,9651.46,9652.23,9650.67,9653.03
97.425,9388,9388.82,9389.63,9388,9390.45
97.3,9524,9524.84,9525.7,9524,9526.54
97.175,9393.33,9394.2,9395.1,9393.33,9395.97
97.05,9377.33,9378.23,9379.17,9377.33,9380.06
96.925,9072,9072.92,9073.92,9072,9074.83
96.8,9241.33,9242.28,9243.33,9241.33,9244.28
96.675,9034.67,9035.64,9036.75,9034.67,9037.73
96.55,9097.33,9098.34,9099.5,9097.33,9100.51
96.425,8818.67,8819.7,8820.94,8818.67,8821.98
96.3,8889.33,8890.4,8891.71,8889.33,8892.78
96.175,8994.67,8995.77,8997.15,8994.67,8998.26
96.05,8706.67,8707.81,8709.26,8706.67,8710.4
95.925,8638.67,8639.84,8641.39,8638.67,8642.56
95.8,8508,8509.21,8510.86,8508,8512.07
95.675,8433.33,8434.59,8436.33,8433.33,8437.58
95.55,8605.33,8606.63,8608.46,8605.33,8609.76
95.425,8277.33,8278.67,8280.63,8277.33,8281.97
95.3,8572,8573.38,8575.48,8572,8576.86
95.175,8292,8293.43,8295.65,8292,8297.09
95.05,8718.67,8720.15,8722.49,8718.67,8723.98
94.925,8401.33,8402.87,8405.39,8401.33,8406.92
94.8,8458.67,8460.26,8462.95,8458.67,8464.54
94.675,8406.67,8408.32,8411.18,8406.67,8412.83
94.55,8416,8417.71,8420.75,8416,8422.46
94.425,8614.67,8616.44,8619.72,8614.67,8621.49
94.3,8701.33,8703.17,8706.69,8701.33,8708.53
94.175,8392,8393.91,8397.67,8392,8399.58
94.05,8584,8585.99,8589.98,8584,8591.97
93.925,8402.67,8404.73,8409.07,8402.67,8411.13
93.8,8218.67,8220.81,8225.5,8218.67,8227.64
93.675,8350.67,8352.9,8357.93,8350.67,8360.16
93.55,8154.67,8156.99,8162.36,8154.67,8164.68
93.425,8392,8394.42,8400.29,8392,8402.71
93.3,8478.67,8481.18,8487.56,8478.67,8490.08
93.175,8104,8106.63,8113.5,8104,8116.12
93.05,8102.67,8105.41,8112.79,8102.67,8115.53
92.925,8152,8154.85,8163,8152,8165.85
92.8,8006.67,8009.64,8018.55,8006.67,8021.52
92.675,7808,7811.12,7820.76,7808,7823.88
92.55,7890.67,7893.93,7904.36,7890.67,7907.63
92.425,7834.67,7838.07,7849.7,7834.67,7853.1
92.3,7728,7731.56,7744.36,7728,7747.93
92.175,7897.33,7901.08,7915.03,7897.33,7918.78
92.05,7945.33,7949.26,7964.51,7945.33,7968.44
91.925,7646.67,7650.78,7667.98,7646.67,7672.08
91.8,8114.67,8118.98,8138.11,8114.67,8142.42
91.675,8048,8052.55,8073.57,8048,8078.12
91.55,7997.33,8002.12,8025.38,7997.33,8030.16
91.425,8104,8109.02,8135.67,8104,8140.69
91.3,8046.67,8051.96,8080.96,8046.67,8086.25
91.175,8144,8149.6,8182.27,8144,8187.87
91.05,8128,8133.91,8170.9,8128,8176.81
90.925,8316,8322.22,8364.31,8316,8370.53
90.8,8438.67,8445.25,8493.35,8438.67,8499.93
90.675,8445.33,8452.33,8507.57,8445.33,8514.57
90.55,8542.67,8550.08,8613.93,8542.67,8621.34
90.425,8712,8719.82,8794.14,8712,8801.97
90.3,8869.33,8877.67,8964.72,8869.33,8973.06
90.175,8933.33,8942.24,9045.04,8933.33,9053.94
90.05,8850.67,8860.14,8982.72,8850.67,8992.19
89.925,8862.67,8872.71,9020.46,8862.67,9030.5
89.8,8966.67,8977.43,9157.59,8966.67,9168.36
89.675,8778.67,8910.12,9132.99,8898.55,9144.55
89.55,8952,8910.67,9191.29,8898.3,9203.66
89.425,9129.33,8910.39,9271.47,8897.21,9284.64
89.3,9645.33,8907.94,9385.32,8893.7,9399.56
89.175,9957.33,8904.11,9558.51,8888.7,9573.92
89.05,10633.3,8897.08,9835.48,8880.5,9852.06
88.925,11177.3,8887.46,10302.6,8869.7,10320.3
88.8,12541.3,8871.84,11113.1,8852.45,11132.5
88.675,14301.3,8848.01,12530.2,8826.84,12551.4
88.55,16546.7,8813.5,14947.3,8790.56,14970.2
88.425,20286.7,8761.25,18849.6,8736.52,18874.4
88.3,25160,8686.71,24674.5,8659.34,24701.9
88.175,32097.3,8579.39,32529.8,8549.18,32560.1
88.05,40180,8433.57,41880.9,8400.52,41914
87.925,50633.3,8237.92,51372.1,8202.03,51408
87.8,59065.3,8003.43,59052.6,7962.97,59093.1
87.675,64556,7742.28,62992.5,7696.99,63037.8
87.55,64276,7480.07,62080.7,7431.07,62129.7
87.425,57608,7250.08,56527.3,7195.24,56582.2
87.3,47238.7,7068.69,47764.4,7007.04,47826
87.175,36378.7,6938.64,37816.4,6869,37886.1
87.05,27150.7,6852.77,28519.7,6773.68,28598.8
86.925,20825.3,6797.99,20998.5,6707.63,21088.8
86.8,16318.7,6766.35,15583.7,6662.46,15687.6
86.675,13796,6749.24,12030.2,6628.94,12150.5
86.55,11881.3,6744.69,9857.77,6604.25,9998.2
86.425,10605.3,6750.87,8587.38,6585.45,8752.81
86.3,9736,6767.51,7855.14,6570.64,8052.01
86.175,8936,6796.59,7427.03,6559.52,7664.1
86.05,8642.67,6839.17,7165.72,6549.73,7455.16
85.925,8446.67,6900.07,6997.59,6540.82,7356.85
85.8,8386.67,6987.1,6882.66,6532.14,7337.63
85.675,8641.33,7113.24,6798.34,6522.23,7389.35
85.55,8993.33,7304.26,6732.63,6510.61,7526.28
85.425,9492,7608.65,6678.15,6496.6,7790.2
85.3,10337.3,8115.96,6629.1,6478.55,8266.51
85.175,11572,8993.11,6580.97,6454.61,9119.47
85.05,13184,10533.4,6530.15,6422.98,10640.6
84.925,15916,13195.1,6470.08,6378.37,13286.8
84.8,19853.3,17595,6394.17,6315.04,17674.1
84.675,25493.3,24373.9,6293.68,6224.9,24442.7
84.55,33352,33889.2,6157.57,6097.4,33949.4
84.425,43932,45782.1,5972.53,5919.59,45835.1
84.3,56109.3,58644.5,5730.53,5683.7,58691.3
84.175,68588,70093.7,5429.69,5388.05,70135.4
84.05,77709.3,77426.6,5085.34,5048.15,77463.8
83.925,80566.7,78649.7,4727.58,4693.22,78684.1
83.8,75149.3,73363.9,4392.82,4362.08,73394.7
83.675,63204,62949,4112.68,4085.53,62976.2
83.55,48212,49943.4,3903.16,3878.13,49968.4
83.425,34245.3,37001.3,3758.3,3735.41,37024.2
83.3,24750.7,26008.3,3657.4,3636.64,26029
83.175,17616,17771.9,3589.63,3570.94,17790.6
83.05,13274.7,12195.5,3542.69,3525.33,12212.9
82.925,10366.7,8708.59,3509.2,3493.18,8724.61
82.8,8365.33,6645.12,3484.97,3470.28,6659.8
82.675,7172,5455.32,3466.29,3452.88,5468.73
82.55,6385.33,4766.01,3451.63,3439.1,4778.54
82.425,5520,4355.09,3440.97,3429.32,4366.74
82.3,5173.33,4097.57,3431.9,3421.12,4108.34
82.175,4801.33,3927.8,3424.58,3414.64,3937.74
82.05,4474.67,3810.32,3419,3409.65,3819.66
81.925,4401.33,3724.9,3413.73,3404.99,3733.64
81.8,4068,3661.96,3410.02,3401.88,3670.1
81.675,3989.33,3613.75,3406.69,3399.12,3621.32
81.55,3854.67,3576.36,3404.12,3396.98,3583.51
81.425,3698.67,3547.14,3402.28,3395.56,3553.87
81.3,3745.33,3523.23,3400.21,3393.91,3529.53
81.175,3586.67,3504.27,3398.91,3393.01,3510.17
81.05,3402.67,3489.41,3398.55,3392.96,3495
80.925,3586.67,3476.23,3397.33,3392.05,3481.51
80.8,3470.67,3465.6,3396.65,3391.68,3470.57
80.675,3381.33,3456.9,3396.32,3391.63,3461.59
80.55,3460,3449.24,3395.77,3391.31,3453.7
80.425,3348,3442.77,3395.34,3391.11,3446.99
80.3,3365.33,3411.59,3369.33,3365.33,3415.58
80.175,3324,3366.75,3327.78,3324,3370.53
80.05,3141.33,3179.25,3144.94,3141.33,3182.86
79.925,3138.67,3173.07,3142.1,3138.67,3176.5
79.8,3133.33,3164.89,3136.59,3133.33,3168.15
79.675,3186.67,3215.38,3189.76,3186.67,3218.48
79.55,3149.33,3175.21,3152.29,3149.33,3178.17
79.425,3068,3091.79,3070.82,3068,3094.62
79.3,3172,3194.01,3174.69,3172,3196.7
