,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,1.5,,
BE_Au 4f 1,CPS_Au 4f 1,Au 4f_1_Au 4f 1,Au 4f_2_Au 4f 1,Background_Au 4f 1,Envelope_Au 4f 1
85.35,20246,14620.5,10347.6,10069.1,14899
85.225,23578,17284,10250.2,10014.9,17519.4
85.1,28388.7,21908.9,10141.9,9941.02,22109.8
84.975,35166,29659.6,10012.5,9839.66,29832.4
84.85,45459.3,41861.5,9846.37,9696.53,42011.3
84.725,59856.7,59499.2,9625.76,9494.96,59630
84.6,78230,82405.9,9333.64,9218.76,82520.8
84.475,100611,108468,8952.96,8851.51,108569
84.35,126173,133435,8470.13,8380.07,133525
84.225,148813,151852,7896.07,7815.76,151932
84.1,161764,158969,7269.07,7197.14,159041
83.975,158803,152747,6654.48,6587.93,152813
83.85,137888,134795,6119.49,6060.32,134854
83.725,105753,109631,5713.11,5659.72,109685
83.6,75990.7,82746,5426.16,5377.11,82795
83.475,51973.3,58644.2,5234.58,5189.87,58688.9
83.35,36280,39753,5105.32,5064.93,39793.4
83.225,26218,26473.7,5016.88,4979.93,26510.6
83.1,19832,17918.4,4954.48,4920.25,17952.7
82.975,15754,12749.4,4908.23,4876.72,12780.9
82.85,12868,9742.34,4873.4,4844.61,9771.14
82.725,10851.3,8006.95,4847.09,4820.47,8033.57
82.6,9359.33,6984.41,4827.07,4802.23,7009.24
82.475,8240.67,6357.05,4811.46,4788.41,6380.09
82.35,7445.33,5952.46,4799,4777.74,5973.72
82.225,6896.67,5677.44,4789.04,4769.22,5697.26
82.1,6352.67,5482.49,4781.45,4762.86,5501.08
81.975,5923.33,5339.63,4775.56,4758.2,5356.99
81.85,5601.33,5232.16,4770.95,4754.81,5248.3
81.725,5384,5149.5,4767.42,4752.28,5164.64
81.6,5275.33,5084.55,4764.45,4750.18,5098.83
81.475,5044.67,5033.31,4762.4,4748.99,5046.72
81.35,4812,4992.64,4761.28,4748.74,5005.18
81.225,4822.67,4959.32,4760.27,4748.44,4971.15
81.1,4610.67,4794.27,4621.87,4610.67,4805.47
80.975,4619.33,4780.22,4629.9,4619.33,4790.78
80.85,4402,4543.79,4411.94,4402,4553.73
80.725,4439.33,4564.95,4448.75,4439.33,4574.37
80.6,4308,4419.83,4316.95,4308,4428.78
80.475,4230.67,4330.67,4239.14,4230.67,4339.14
80.35,4126.67,4219.17,4134.67,4126.67,4227.17
80.225,4190,4272.66,4197.62,4190,4280.28
80.1,4077.33,4150.74,4084.59,4077.33,4157.99
79.975,4014,4081.62,4020.9,4014,4088.52
79.85,3966,4027.84,3972.54,3966,4034.38
79.725,3950.67,4006.73,3956.91,3950.67,4012.97
79.6,3890.67,3941.32,3896.64,3890.67,3947.29
