,,,,,,,
,,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,5,,,,
BE_S 2p 2,CPS_S 2p 2,S 2p_1_S 2p 2,S 2p_2_S 2p 2,S 2p_3_S 2p 2,S 2p_4_S 2p 2,Background_S 2p 2,Envelope_S 2p 2
163.875,11527,11397.4,11505.6,11383.5,11382.7,11382.5,11521.7
163.75,11605.8,11404.8,11538.6,11385.8,11385.2,11385,11559.5
163.625,11567.4,11414.2,11573.5,11388.2,11387.6,11387.4,11601.3
163.5,11798.4,11426.5,11608.1,11390.7,11390.1,11389.9,11645.6
163.375,11690.4,11442.8,11639.7,11393.1,11392.6,11392.4,11690.9
163.25,11819.2,11464.3,11665.6,11395.5,11395,11394.9,11735.8
163.125,11835.4,11492.4,11683.3,11397.9,11397.5,11397.4,11779
163,11776.4,11528.3,11691.2,11400.4,11400,11399.9,11820.3
162.875,11844.8,11572.9,11688.5,11402.8,11402.5,11402.4,11859.7
162.75,11869.2,11626.2,11676.1,11405.3,11404.9,11404.8,11897.9
162.625,11894.2,11687.1,11655.4,11407.7,11407.4,11407.3,11935.6
162.5,11899.4,11753.2,11628.8,11410.2,11409.9,11409.8,11972.7
162.375,11943.4,11820.8,11599.3,11412.6,11412.4,11412.3,12008.2
162.25,11920.4,11884.9,11569.3,11415.1,11414.9,11414.8,12039.8
162.125,12014,11939.8,11541.2,11417.6,11417.3,11417.3,12064.1
162,12121.8,11980.5,11516.3,11420,11419.8,11419.7,12077.4
161.875,12113.8,12002.7,11495.7,11422.5,11422.3,11422.2,12076.5
161.75,12037.4,12004.1,11479.5,11425,11424.8,11424.7,12059.2
161.625,12145.6,11985.1,11467.4,11427.4,11427.3,11427.2,12025.6
161.5,11992.2,11947.9,11459,11429.9,11429.7,11429.7,11977.5
161.375,11901.8,11896.8,11453.4,11432.4,11432.2,11432.2,11918.3
161.25,11945.6,11837.2,11450.1,11434.8,11434.7,11434.7,11852.9
161.125,11814.4,11774.5,11448.5,11437.3,11437.2,11437.1,11786.2
161,11708.6,11713.7,11448.1,11439.8,11439.7,11439.6,11722.4
160.875,11632.8,11658.4,11448.6,11442.3,11442.2,11442.1,11665.1
160.75,11619,11610.9,11449.6,11444.7,11444.6,11444.6,11616.1
160.625,11488.6,11572.1,11451.1,11447.2,11447.1,11447.1,11576.3
160.5,11575.8,11541.9,11452.8,11449.7,11449.6,11449.6,11545.3
160.375,11561.4,11519.4,11454.7,11452.2,11452.1,11452,11522.3
160.25,11412.8,11503.4,11456.8,11454.6,11454.6,11454.5,11505.8
160.125,11433.2,11492.5,11458.9,11457.1,11457,11457,11494.6
160,11463.8,11485.5,11461.1,11459.6,11459.5,11459.5,11487.3
159.875,11460,11481.3,11463.4,11462.1,11462,11462,11482.8
159.75,11448.6,11479.1,11465.7,11464.6,11464.5,11464.5,11480.4
159.625,11410,11478.2,11468,11467,11467,11466.9,11479.4
159.5,11409,11478.3,11470.4,11469.5,11469.5,11469.4,11479.4
159.375,11576.4,11479,11472.8,11472,11471.9,11471.9,11480
159.25,11486,11480.2,11475.1,11474.5,11474.4,11474.4,11481.1
159.125,11421.4,11426.2,11422.1,11421.5,11421.4,11421.4,11427
159,11481.6,11485.7,11482.2,11481.7,11481.6,11481.6,11486.4
158.875,11536.4,11539.9,11536.9,11536.5,11536.4,11536.4,11540.5
158.75,11527.6,11530.6,11528.1,11527.7,11527.6,11527.6,11531.2
158.625,11516.4,11519,11516.8,11516.5,11516.4,11516.4,11519.5
158.5,11522.8,11525.1,11523.2,11522.9,11522.8,11522.8,11525.6
158.375,11468.4,11470.4,11468.8,11468.5,11468.4,11468.4,11470.9
158.25,11570.6,11572.4,11570.9,11570.7,11570.6,11570.6,11572.8
158.125,11535.4,11537,11535.7,11535.5,11535.4,11535.4,11537.4
158,11460.4,11461.8,11460.7,11460.5,11460.4,11460.4,11462.2
