,,,,,,
,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.5,,,
BE_C 1s 3,CPS_C 1s 3,C 1s_1_C 1s 3,C 1s_2_C 1s 3,C 1s_3_C 1s 3,Background_C 1s 3,Envelope_C 1s 3
288.325,5913.2,5838.36,5527.84,5509.76,5509.44,5857.09
288.2,5852.8,5928.79,5522.19,5509.5,5509.2,5942.09
288.075,5999.2,6052.11,5518.27,5509.13,5508.86,6061.8
287.95,6179.2,6221.07,5515.42,5508.64,5508.39,6228.35
287.825,6413.6,6450.93,5513.15,5507.99,5507.76,6456.55
287.7,6732.8,6760.55,5511.15,5507.12,5506.91,6765.01
287.575,7063.6,7172.71,5509.24,5506.03,5505.82,7176.33
287.45,7555.6,7709.43,5507.2,5504.58,5504.4,7712.42
287.325,8251.6,8391.7,5504.82,5502.66,5502.49,8394.21
287.2,9136.4,9236.74,5501.93,5500.12,5499.96,9238.88
287.075,10160,10249.2,5498.4,5496.87,5496.72,10251
286.95,11261.2,11419.6,5494.15,5492.85,5492.7,11421.2
286.825,12648,12720.3,5488.98,5487.86,5487.73,12721.6
286.7,14116,14100.4,5482.82,5481.85,5481.72,14101.6
286.575,15558,15489.8,5475.67,5474.83,5474.71,15490.9
286.45,16821.2,16801.7,5467.67,5466.93,5466.82,16802.7
286.325,18146,17941.9,5458.75,5458.1,5458,17942.8
286.2,18970.4,18821.1,5449.27,5448.69,5448.59,18821.8
286.075,19584.8,19362.5,5439.36,5438.85,5438.76,19363.2
285.95,19564.8,19518.2,5429.47,5429.02,5428.93,19518.8
285.825,19252.8,19275.1,5419.8,5419.39,5419.31,19275.7
285.7,18677.2,18652.5,5410.53,5410.17,5410.09,18653
285.575,17552.4,17705,5402.04,5401.71,5401.64,17705.4
285.45,16409.6,16512.4,5394.35,5394.05,5393.98,16512.9
285.325,15047.6,15166.1,5387.6,5387.33,5387.26,15166.5
285.2,13367.2,13760.2,5382.02,5381.77,5381.71,13760.6
285.075,12166.8,12378.6,5377.27,5377.05,5376.99,12379
284.95,10982.8,11088.5,5373.35,5373.15,5373.09,11088.9
284.825,9841.2,9936.83,5370.23,5370.04,5369.98,9937.14
284.7,9142,8947.12,5367.58,5367.41,5367.36,8947.4
284.575,8348,8126.16,5365.49,5365.33,5365.28,8126.42
284.45,7862.8,7466.62,5363.74,5363.59,5363.54,7466.86
284.325,7342.8,6950.08,5362.35,5362.21,5362.17,6950.32
284.2,6967.6,6554.92,5361.22,5361.09,5361.05,6555.13
284.075,6662,6258.74,5360.3,5360.19,5360.14,6258.94
283.95,6409.6,6039.24,5359.56,5359.45,5359.41,6039.43
283.825,6302.4,5878,5358.9,5358.8,5358.76,5878.17
283.7,5973.6,5760.35,5358.46,5358.37,5358.33,5760.52
283.575,5801.2,5674.03,5358.15,5358.06,5358.02,5674.19
283.45,5663.2,5610.25,5357.93,5357.84,5357.81,5610.4
283.325,5594.8,5562.71,5357.75,5357.68,5357.64,5562.85
283.2,5610.4,5526.61,5357.57,5357.5,5357.47,5526.75
283.075,5540.8,5498.85,5357.44,5357.37,5357.34,5498.98
282.95,5349.6,5477.28,5357.43,5357.37,5357.34,5477.4
282.825,5404.4,5460.09,5357.39,5357.33,5357.3,5460.2
282.7,5340.8,5446.21,5357.37,5357.32,5357.29,5446.32
282.575,5318.8,5434.83,5357.34,5357.29,5357.26,5434.93
282.45,5497.6,5425.3,5357.24,5357.19,5357.17,5425.4
282.325,5331.2,5417.38,5357.22,5357.17,5357.15,5417.48
282.2,5450.4,5410.63,5357.15,5357.11,5357.08,5410.72
282.075,5332.8,5404.91,5357.13,5357.09,5357.07,5405
281.95,5340,5400,5357.12,5357.08,5357.06,5400.08
281.825,5412,5395.72,5357.07,5357.04,5357.02,5395.8
281.7,5366,5392.03,5357.07,5357.03,5357.01,5392.1
281.575,5323.2,5388.78,5357.04,5357.01,5356.99,5388.85
281.45,5404.8,5385.91,5357,5356.97,5356.95,5385.98
281.325,5304.4,5383.38,5356.97,5356.94,5356.92,5383.44
281.2,5429.2,5381.11,5356.91,5356.89,5356.87,5381.17
281.075,5388.4,5379.11,5356.89,5356.86,5356.85,5379.17
280.95,5299.6,5377.31,5356.85,5356.82,5356.81,5377.37
280.825,5348.4,5375.73,5356.84,5356.82,5356.8,5375.78
280.7,5422.4,5439.91,5422.44,5422.42,5422.4,5439.96
280.575,5368.4,5384.63,5368.44,5368.42,5368.4,5384.68
280.45,5405.6,5420.67,5405.64,5405.61,5405.6,5420.72
280.325,5346.4,5360.42,5346.43,5346.41,5346.4,5360.47
280.2,5344.8,5357.87,5344.83,5344.81,5344.8,5357.92
280.075,5340.8,5353,5340.83,5340.81,5340.8,5353.05
279.95,5352.4,5363.81,5352.43,5352.41,5352.4,5363.85
279.825,5389.2,5399.89,5389.23,5389.21,5389.2,5399.93
279.7,5342.4,5352.42,5342.43,5342.41,5342.4,5352.46
