,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Sur1 1,CPS_Sur1 1,Background_Sur1 1
1305.4,70097.1,70097.1
1305,69964.7,69964.7
1304.6,70955.9,70955.9
1304.2,71235.3,71235.3
1303.8,71135.3,71135.3
1303.4,71658.8,71658.8
1303,70455.9,70455.9
1302.6,71023.5,71023.5
1302.2,71038.2,71038.2
1301.8,69291.2,69291.2
1301.4,69652.9,69652.9
1301,68988.2,68988.2
1300.6,69638.2,69638.2
1300.2,68770.6,68770.6
1299.8,67988.2,67988.2
1299.4,67779.4,67779.4
1299,67726.5,67726.5
1298.6,67614.7,67614.7
1298.2,65982.4,65982.4
1297.8,65800,65800
1297.4,65797.1,65797.1
1297,65491.2,65491.2
1296.6,64479.4,64479.4
1296.2,65602.9,65602.9
1295.8,63658.8,63658.8
1295.4,64914.7,64914.7
1295,64497.1,64497.1
1294.6,64773.5,64773.5
1294.2,64788.2,64788.2
1293.8,64588.2,64588.2
1293.4,63788.2,63788.2
1293,63617.6,63617.6
1292.6,63479.4,63479.4
1292.2,63400,63400
1291.8,63082.4,63082.4
1291.4,62823.5,62823.5
1291,63276.5,63276.5
1290.6,63291.2,63291.2
1290.2,63644.1,63644.1
1289.8,62764.7,62764.7
1289.4,63041.2,63041.2
1289,62905.9,62905.9
1288.6,62585.3,62585.3
1288.2,62535.3,62535.3
1287.8,63144.1,63144.1
1287.4,63414.7,63414.7
1287,62229.4,62229.4
1286.6,62438.2,62438.2
1286.2,62988.2,62988.2
1285.8,63388.2,63388.2
1285.4,62532.4,62532.4
1285,63547.1,63547.1
1284.6,61626.5,61626.5
1284.2,62638.2,62638.2
1283.8,62644.1,62644.1
1283.4,61573.5,61573.5
1283,61955.9,61955.9
1282.6,61735.3,61735.3
1282.2,61576.5,61576.5
1281.8,62873.5,62873.5
1281.4,62000,62000
1281,62326.5,62326.5
1280.6,61488.2,61488.2
1280.2,62173.5,62173.5
1279.8,60594.1,60594.1
1279.4,61329.4,61329.4
1279,61073.5,61073.5
1278.6,60476.5,60476.5
1278.2,61123.5,61123.5
1277.8,60682.4,60682.4
1277.4,61147.1,61147.1
1277,61652.9,61652.9
1276.6,60773.5,60773.5
1276.2,61011.8,61011.8
1275.8,60805.9,60805.9
1275.4,61211.8,61211.8
1275,60532.4,60532.4
1274.6,60508.8,60508.8
1274.2,61532.4,61532.4
1273.8,60541.2,60541.2
1273.4,60573.5,60573.5
1273,60682.4,60682.4
1272.6,61132.4,61132.4
1272.2,60247.1,60247.1
1271.8,59567.6,59567.6
1271.4,60220.6,60220.6
1271,59855.9,59855.9
1270.6,60900,60900
1270.2,60726.5,60726.5
1269.8,60491.2,60491.2
1269.4,60264.7,60264.7
1269,60644.1,60644.1
1268.6,59676.5,59676.5
1268.2,60564.7,60564.7
1267.8,59717.6,59717.6
1267.4,59376.5,59376.5
1267,59773.5,59773.5
1266.6,60100,60100
1266.2,59682.4,59682.4
1265.8,59285.3,59285.3
