,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Sur1 1,CPS_Sur1 1,Background_Sur1 1
1311,10647.1,10647.1
1310.6,10764.7,10764.7
1310.2,10335.3,10335.3
1309.8,10426.5,10426.5
1309.4,10400,10400
1309,10420.6,10420.6
1308.6,10497.1,10497.1
1308.2,10247.1,10247.1
1307.8,10388.2,10388.2
1307.4,10502.9,10502.9
1307,10455.9,10455.9
1306.6,10658.8,10658.8
1306.2,10332.4,10332.4
1305.8,10738.2,10738.2
1305.4,10367.6,10367.6
1305,10605.9,10605.9
1304.6,10258.8,10258.8
1304.2,10673.5,10673.5
1303.8,10305.9,10305.9
1303.4,10676.5,10676.5
1303,10758.8,10758.8
1302.6,10494.1,10494.1
1302.2,10361.8,10361.8
1301.8,10450,10450
1301.4,10467.6,10467.6
1301,11008.8,11008.8
1300.6,10558.8,10558.8
1300.2,10505.9,10505.9
1299.8,10752.9,10752.9
1299.4,10650,10650
1299,10432.4,10432.4
1298.6,10694.1,10694.1
1298.2,10911.8,10911.8
1297.8,10750,10750
1297.4,10900,10900
1297,10800,10800
1296.6,10620.6,10620.6
1296.2,10376.5,10376.5
1295.8,10655.9,10655.9
1295.4,10944.1,10944.1
1295,10535.3,10535.3
1294.6,10876.5,10876.5
1294.2,10788.2,10788.2
1293.8,10761.8,10761.8
1293.4,10682.4,10682.4
1293,10805.9,10805.9
1292.6,10617.6,10617.6
1292.2,10682.4,10682.4
1291.8,10723.5,10723.5
1291.4,10885.3,10885.3
1291,10832.4,10832.4
1290.6,11188.2,11188.2
1290.2,11276.5,11276.5
1289.8,10752.9,10752.9
1289.4,10879.4,10879.4
1289,10761.8,10761.8
1288.6,10897.1,10897.1
1288.2,10935.3,10935.3
1287.8,11138.2,11138.2
1287.4,10764.7,10764.7
1287,11141.2,11141.2
1286.6,11335.3,11335.3
1286.2,10988.2,10988.2
1285.8,10926.5,10926.5
1285.4,11023.5,11023.5
1285,10982.4,10982.4
1284.6,10952.9,10952.9
1284.2,10544.1,10544.1
1283.8,11111.8,11111.8
1283.4,10876.5,10876.5
1283,11035.3,11035.3
1282.6,10970.6,10970.6
1282.2,10755.9,10755.9
1281.8,11108.8,11108.8
1281.4,11026.5,11026.5
1281,10902.9,10902.9
1280.6,10782.4,10782.4
1280.2,11061.8,11061.8
1279.8,11141.2,11141.2
1279.4,10852.9,10852.9
1279,11188.2,11188.2
1278.6,10908.8,10908.8
1278.2,10864.7,10864.7
1277.8,11370.6,11370.6
1277.4,11414.7,11414.7
1277,11358.8,11358.8
1276.6,11064.7,11064.7
1276.2,10979.4,10979.4
1275.8,11217.6,11217.6
1275.4,10958.8,10958.8
1275,10985.3,10985.3
1274.6,11055.9,11055.9
1274.2,11202.9,11202.9
1273.8,11094.1,11094.1
1273.4,11541.2,11541.2
1273,11302.9,11302.9
1272.6,11041.2,11041.2
1272.2,11147.1,11147.1
1271.8,10979.4,10979.4
1271.4,11505.9,11505.9
1271,11494.1,11494.1
1270.6,10929.4,10929.4
1270.2,11279.4,11279.4
1269.8,11358.8,11358.8
1269.4,11314.7,11314.7
1269,11264.7,11264.7
1268.6,11464.7,11464.7
1268.2,11314.7,11314.7
1267.8,11497.1,11497.1
1267.4,11414.7,11414.7
1267,11552.9,11552.9
1266.6,11535.3,11535.3
1266.2,11314.7,11314.7
1265.8,11808.8,11808.8
1265.4,11508.8,11508.8
1265,11400,11400
1264.6,11170.6,11170.6
1264.2,11529.4,11529.4
1263.8,11367.6,11367.6
1263.4,11385.3,11385.3
1263,11552.9,11552.9
1262.6,11520.6,11520.6
1262.2,11226.5,11226.5
1261.8,11752.9,11752.9
1261.4,11435.3,11435.3
1261,11573.5,11573.5
1260.6,11841.2,11841.2
1260.2,11829.4,11829.4
1259.8,11535.3,11535.3
1259.4,12226.5,12226.5
1259,11432.4,11432.4
1258.6,11541.2,11541.2
1258.2,11667.6,11667.6
1257.8,11294.1,11294.1
1257.4,11820.6,11820.6
1257,11661.8,11661.8
1256.6,11700,11700
1256.2,11576.5,11576.5
1255.8,11382.4,11382.4
1255.4,11500,11500
1255,11985.3,11985.3
1254.6,11611.8,11611.8
1254.2,11770.6,11770.6
1253.8,11920.6,11920.6
1253.4,11891.2,11891.2
1253,12241.2,12241.2
1252.6,12085.3,12085.3
1252.2,12094.1,12094.1
1251.8,11658.8,11658.8
1251.4,11832.4,11832.4
1251,11844.1,11844.1
1250.6,11558.8,11558.8
1250.2,11576.5,11576.5
1249.8,11888.2,11888.2
1249.4,12241.2,12241.2
1249,11920.6,11920.6
1248.6,12297.1,12297.1
1248.2,12011.8,12011.8
1247.8,11947.1,11947.1
1247.4,12008.8,12008.8
1247,12370.6,12370.6
1246.6,12311.8,12311.8
1246.2,12179.4,12179.4
1245.8,12220.6,12220.6
1245.4,12111.8,12111.8
1245,12385.3,12385.3
1244.6,12126.5,12126.5
1244.2,12061.8,12061.8
1243.8,12494.1,12494.1
1243.4,12023.5,12023.5
1243,12147.1,12147.1
1242.6,12300,12300
1242.2,12302.9,12302.9
1241.8,12279.4,12279.4
1241.4,12523.5,12523.5
1241,12417.6,12417.6
1240.6,12329.4,12329.4
1240.2,12194.1,12194.1
1239.8,12452.9,12452.9
1239.4,12688.2,12688.2
1239,12488.2,12488.2
1238.6,12658.8,12658.8
1238.2,12391.2,12391.2
1237.8,12500,12500
1237.4,12476.5,12476.5
1237,12223.5,12223.5
1236.6,12014.7,12014.7
1236.2,12791.2,12791.2
1235.8,12355.9,12355.9
1235.4,12552.9,12552.9
1235,12641.2,12641.2
1234.6,12114.7,12114.7
1234.2,12408.8,12408.8
1233.8,12491.2,12491.2
1233.4,12617.6,12617.6
1233,12908.8,12908.8
1232.6,12914.7,12914.7
1232.2,12682.4,12682.4
1231.8,12970.6,12970.6
1231.4,12802.9,12802.9
1231,12911.8,12911.8
1230.6,12976.5,12976.5
1230.2,13100,13100
1229.8,13029.4,13029.4
1229.4,12726.5,12726.5
1229,13411.8,13411.8
1228.6,13391.2,13391.2
1228.2,13217.6,13217.6
1227.8,13255.9,13255.9
1227.4,13179.4,13179.4
1227,13447.1,13447.1
1226.6,13405.9,13405.9
1226.2,13200,13200
1225.8,13188.2,13188.2
1225.4,13302.9,13302.9
1225,13017.6,13017.6
1224.6,13197.1,13197.1
1224.2,13279.4,13279.4
1223.8,13314.7,13314.7
1223.4,13291.2,13291.2
1223,12847.1,12847.1
1222.6,12964.7,12964.7
1222.2,12950,12950
1221.8,13147.1,13147.1
1221.4,12752.9,12752.9
1221,12935.3,12935.3
1220.6,13141.2,13141.2
1220.2,12576.5,12576.5
1219.8,12908.8,12908.8
1219.4,12902.9,12902.9
1219,12882.4,12882.4
1218.6,12641.2,12641.2
1218.2,12861.8,12861.8
1217.8,12635.3,12635.3
1217.4,12508.8,12508.8
1217,12270.6,12270.6
1216.6,12208.8,12208.8
1216.2,12202.9,12202.9
1215.8,12082.4,12082.4
1215.4,11985.3,11985.3
1215,11920.6,11920.6
1214.6,11644.1,11644.1
1214.2,11550,11550
1213.8,11726.5,11726.5
1213.4,11497.1,11497.1
1213,11776.5,11776.5
1212.6,11711.8,11711.8
1212.2,11841.2,11841.2
1211.8,11314.7,11314.7
1211.4,11600,11600
1211,11550,11550
1210.6,11429.4,11429.4
1210.2,11467.6,11467.6
1209.8,11717.6,11717.6
1209.4,11752.9,11752.9
1209,11750,11750
1208.6,11932.4,11932.4
1208.2,11667.6,11667.6
1207.8,11508.8,11508.8
1207.4,11567.6,11567.6
1207,11347.1,11347.1
1206.6,11773.5,11773.5
1206.2,11191.2,11191.2
1205.8,11826.5,11826.5
1205.4,11435.3,11435.3
1205,11829.4,11829.4
1204.6,11520.6,11520.6
1204.2,11626.5,11626.5
1203.8,11547.1,11547.1
1203.4,11811.8,11811.8
1203,11802.9,11802.9
1202.6,11752.9,11752.9
1202.2,11961.8,11961.8
1201.8,11847.1,11847.1
1201.4,11876.5,11876.5
1201,11782.4,11782.4
1200.6,11514.7,11514.7
1200.2,11605.9,11605.9
1199.8,11629.4,11629.4
1199.4,11738.2,11738.2
1199,11450,11450
1198.6,11708.8,11708.8
1198.2,11752.9,11752.9
1197.8,11873.5,11873.5
1197.4,11438.2,11438.2
1197,11573.5,11573.5
1196.6,11750,11750
1196.2,11764.7,11764.7
1195.8,11782.4,11782.4
1195.4,11791.2,11791.2
1195,11491.2,11491.2
1194.6,11847.1,11847.1
1194.2,11967.6,11967.6
1193.8,11802.9,11802.9
1193.4,11788.2,11788.2
1193,11655.9,11655.9
1192.6,11979.4,11979.4
1192.2,11602.9,11602.9
1191.8,11847.1,11847.1
1191.4,11958.8,11958.8
1191,11897.1,11897.1
1190.6,11879.4,11879.4
1190.2,12105.9,12105.9
1189.8,11785.3,11785.3
1189.4,12258.8,12258.8
1189,12032.4,12032.4
1188.6,12005.9,12005.9
1188.2,12085.3,12085.3
1187.8,11555.9,11555.9
1187.4,12405.9,12405.9
1187,12370.6,12370.6
1186.6,11950,11950
1186.2,12491.2,12491.2
1185.8,12002.9,12002.9
1185.4,11900,11900
1185,11879.4,11879.4
1184.6,12052.9,12052.9
1184.2,12005.9,12005.9
1183.8,12105.9,12105.9
1183.4,11897.1,11897.1
1183,12029.4,12029.4
1182.6,12411.8,12411.8
1182.2,12423.5,12423.5
1181.8,12517.6,12517.6
1181.4,12452.9,12452.9
1181,12188.2,12188.2
1180.6,11988.2,11988.2
1180.2,12055.9,12055.9
1179.8,12402.9,12402.9
1179.4,12252.9,12252.9
1179,12317.6,12317.6
1178.6,12208.8,12208.8
1178.2,12214.7,12214.7
1177.8,12600,12600
1177.4,12323.5,12323.5
1177,12188.2,12188.2
1176.6,12191.2,12191.2
1176.2,12250,12250
1175.8,12608.8,12608.8
1175.4,12408.8,12408.8
1175,12661.8,12661.8
1174.6,12426.5,12426.5
1174.2,12697.1,12697.1
1173.8,12379.4,12379.4
1173.4,12541.2,12541.2
1173,12323.5,12323.5
1172.6,11935.3,11935.3
1172.2,12529.4,12529.4
1171.8,12226.5,12226.5
1171.4,12570.6,12570.6
1171,12485.3,12485.3
1170.6,12523.5,12523.5
1170.2,12708.8,12708.8
1169.8,12526.5,12526.5
1169.4,12591.2,12591.2
