,,,,,
,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,6.25,,
BE_N 1s 5,CPS_N 1s 5,N 1s_1_N 1s 5,N 1s_2_N 1s 5,Background_N 1s 5,Envelope_N 1s 5
397.25,18105.6,18029.2,18009.7,18009.6,18029.3
397.125,17977.4,18029.7,18014.5,18014.4,18029.8
397,18092.5,18031.4,18019.4,18019.3,18031.5
396.875,18044.6,18033.8,18024.2,18024.1,18033.9
396.75,18048.2,18036.8,18029.1,18029,18036.9
396.625,18053.9,18040.3,18033.9,18033.8,18040.3
396.5,18004,18044.1,18038.8,18038.7,18044.1
396.375,18031.2,18048.1,18043.6,18043.5,18048.1
396.25,18022.6,18052.3,18048.5,18048.4,18052.3
396.125,18191.8,18056.6,18053.3,18053.2,18056.6
396,18051.5,18061,18058.2,18058.1,18061
395.875,18118.7,18065.5,18063,18063,18065.5
395.75,18108,18070,18067.9,18067.8,18070.1
395.625,18157.1,18074.6,18072.7,18072.7,18074.7
395.5,18149.4,18079.3,18077.5,18077.5,18079.3
395.375,18015,18083.9,18082.4,18082.4,18084
395.25,18089.4,18090.9,18089.5,18089.4,18090.9
395.125,18016.3,18017.6,18016.4,18016.3,18017.7
395,18041.1,18042.3,18041.2,18041.1,18042.3
