Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4089,5233.0,-0.06075,-1.9066e-06,-1.7332727272727273
4090,5234.0,-0.067125,-1.9459e-06,-1.769
4091,5235.0,-0.0735,-1.9814e-06,-1.8012727272727274
4092,5236.0,-0.08,-2.0234e-06,-1.8394545454545452
4093,5238.0,-0.086375,-2.0584e-06,-1.8712727272727276
4094,5239.0,-0.09275,-2.0981e-06,-1.9073636363636364
4095,5240.0,-0.099125,-2.1333e-06,-1.939363636363636
4096,5242.0,-0.105625,-2.1694e-06,-1.972181818181818
4097,5243.0,-0.112,-2.2073e-06,-2.006636363636364
4098,5244.0,-0.118375,-2.2399e-06,-2.0362727272727272
4099,5245.0,-0.12475,-2.2731e-06,-2.0664545454545453
4100,5247.0,-0.131125,-2.3067e-06,-2.0969999999999995
4101,5248.0,-0.137625,-2.341e-06,-2.1281818181818184
4102,5249.0,-0.144,-2.3716e-06,-2.156
4103,5251.0,-0.150375,-2.4044e-06,-2.1858181818181817
4104,5252.0,-0.15675,-2.4332e-06,-2.212
4105,5253.0,-0.163125,-2.4623e-06,-2.238454545454545
4106,5254.0,-0.169625,-2.4912e-06,-2.2647272727272725
4107,5256.0,-0.176,-2.5182e-06,-2.289272727272727
4108,5257.0,-0.182375,-2.546e-06,-2.314545454545454
4109,5258.0,-0.18875,-2.5701e-06,-2.3364545454545453
4110,5260.0,-0.195125,-2.594e-06,-2.358181818181818
4111,5261.0,-0.201625,-2.6188e-06,-2.380727272727272
4112,5262.0,-0.208,-2.641e-06,-2.400909090909091
4113,5263.0,-0.214375,-2.6624e-06,-2.4203636363636365
4114,5265.0,-0.22075,-2.6832e-06,-2.439272727272727
4115,5266.0,-0.22725,-2.7016e-06,-2.456
4116,5267.0,-0.233625,-2.7217e-06,-2.4742727272727274
4117,5268.0,-0.24,-2.7385e-06,-2.4895454545454543
4118,5270.0,-0.246375,-2.7575e-06,-2.5068181818181814
4119,5271.0,-0.25275,-2.7772e-06,-2.5247272727272723
4120,5272.0,-0.25925,-2.7956e-06,-2.541454545454545
4121,5274.0,-0.265625,-2.8163e-06,-2.5602727272727277
4122,5275.0,-0.272,-2.8327e-06,-2.575181818181818
4123,5276.0,-0.278375,-2.8548e-06,-2.595272727272727
4124,5277.0,-0.28475,-2.878e-06,-2.616363636363636
4125,5279.0,-0.29125,-2.9004e-06,-2.6367272727272724
4126,5280.0,-0.297625,-2.9274e-06,-2.6612727272727272
4127,5281.0,-0.304,-2.9538e-06,-2.6852727272727277
4128,5283.0,-0.310375,-2.9878e-06,-2.716181818181818
4129,5284.0,-0.31675,-3.0212e-06,-2.7465454545454544
4130,5285.0,-0.32325,-3.062e-06,-2.783636363636364
4131,5286.0,-0.329625,-3.1036e-06,-2.8214545454545448
4132,5288.0,-0.336,-3.1469e-06,-2.860818181818181
4133,5289.0,-0.342375,-3.1949e-06,-2.9044545454545454
4134,5290.0,-0.348875,-3.2408e-06,-2.946181818181818
4135,5292.0,-0.35525,-3.2904e-06,-2.991272727272727
4136,5293.0,-0.361625,-3.3366e-06,-3.0332727272727267
4137,5294.0,-0.368,-3.3827e-06,-3.0751818181818176
4138,5295.0,-0.374375,-3.4228e-06,-3.1116363636363635
4139,5297.0,-0.380875,-3.4681e-06,-3.1528181818181813
4140,5298.0,-0.38725,-3.5065e-06,-3.1877272727272725
