Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4094,5239.0,-0.09275,-6.641e-07,-0.6037272727272727
4095,5240.0,-0.099125,-7.049e-07,-0.6408181818181817
4096,5242.0,-0.105625,-7.422e-07,-0.6747272727272726
4097,5243.0,-0.112,-7.815e-07,-0.7104545454545453
4098,5244.0,-0.118375,-8.383e-07,-0.7620909090909089
4099,5245.0,-0.12475,-8.961e-07,-0.8146363636363636
4100,5247.0,-0.131125,-9.345e-07,-0.8495454545454545
4101,5248.0,-0.137625,-9.715e-07,-0.8831818181818181
4102,5249.0,-0.144,-1.012e-06,-0.92
4103,5251.0,-0.150375,-1.045e-06,-0.9499999999999998
4104,5252.0,-0.15675,-1.073e-06,-0.9754545454545454
4105,5253.0,-0.163125,-1.119e-06,-1.017272727272727
4106,5254.0,-0.169625,-1.179e-06,-1.0718181818181818
4107,5256.0,-0.176,-1.246e-06,-1.1327272727272726
4108,5257.0,-0.182375,-1.328e-06,-1.2072727272727273
4109,5258.0,-0.18875,-1.405e-06,-1.2772727272727271
4110,5260.0,-0.195125,-1.473e-06,-1.3390909090909089
4111,5261.0,-0.201625,-1.494e-06,-1.3581818181818182
4112,5262.0,-0.208,-1.526e-06,-1.3872727272727272
4113,5263.0,-0.214375,-1.595e-06,-1.45
4114,5265.0,-0.22075,-1.673e-06,-1.5209090909090903
4115,5266.0,-0.22725,-1.741e-06,-1.5827272727272723
4116,5267.0,-0.233625,-1.836e-06,-1.669090909090909
4117,5268.0,-0.24,-1.914e-06,-1.7399999999999995
4118,5270.0,-0.246375,-2.039e-06,-1.8536363636363635
4119,5271.0,-0.25275,-2.104e-06,-1.9127272727272728
4120,5272.0,-0.25925,-2.125e-06,-1.9318181818181817
4121,5274.0,-0.265625,-2.178e-06,-1.98
4122,5275.0,-0.272,-2.223e-06,-2.020909090909091
4123,5276.0,-0.278375,-2.297e-06,-2.0881818181818184
4124,5277.0,-0.28475,-2.368e-06,-2.1527272727272724
4125,5279.0,-0.29125,-2.449e-06,-2.2263636363636365
4126,5280.0,-0.297625,-2.533e-06,-2.3027272727272727
4127,5281.0,-0.304,-2.635e-06,-2.395454545454545
4128,5283.0,-0.310375,-2.75e-06,-2.5
4129,5284.0,-0.31675,-2.825e-06,-2.5681818181818183
4130,5285.0,-0.32325,-2.852e-06,-2.5927272727272723
4131,5286.0,-0.329625,-2.899e-06,-2.6354545454545453
4132,5288.0,-0.336,-2.926e-06,-2.66
4133,5289.0,-0.342375,-2.997e-06,-2.724545454545454
4134,5290.0,-0.348875,-3.089e-06,-2.808181818181818
4135,5292.0,-0.35525,-3.2e-06,-2.9090909090909087
4136,5293.0,-0.361625,-3.314e-06,-3.0127272727272727
4137,5294.0,-0.368,-3.394e-06,-3.085454545454545
4138,5295.0,-0.374375,-3.377e-06,-3.07
4139,5297.0,-0.380875,-3.436e-06,-3.1236363636363635
4140,5298.0,-0.38725,-3.447e-06,-3.1336363636363638
4141,5299.0,-0.393625,-3.522e-06,-3.201818181818181
4142,5300.0,-0.4,-3.603e-06,-3.2754545454545454
4143,5302.0,-0.406375,-3.731e-06,-3.3918181818181816
4144,5303.0,-0.412875,-3.851e-06,-3.5009090909090905
4145,5304.0,-0.41925,-3.85e-06,-3.5
4146,5306.0,-0.425625,-3.84e-06,-3.4909090909090903
4147,5307.0,-0.432,-3.844e-06,-3.494545454545454
4148,5308.0,-0.438375,-3.916e-06,-3.56
4149,5309.0,-0.444875,-4.003e-06,-3.639090909090908
4150,5311.0,-0.45125,-4.093e-06,-3.7209090909090903
4151,5312.0,-0.457625,-4.042e-06,-3.674545454545454
4152,5313.0,-0.464,-4.008e-06,-3.643636363636364
4153,5315.0,-0.4705,-3.97e-06,-3.609090909090909
4154,5316.0,-0.476875,-4.011e-06,-3.646363636363636
4155,5317.0,-0.48325,-4.055e-06,-3.686363636363636
4156,5318.0,-0.489625,-4.136e-06,-3.76
4157,5320.0,-0.496,-4.09e-06,-3.718181818181818
4158,5321.0,-0.5025,-4.051e-06,-3.6827272727272726
4159,5322.0,-0.508875,-3.998e-06,-3.634545454545454
4160,5324.0,-0.51525,-4.028e-06,-3.661818181818182
4161,5325.0,-0.521625,-4.05e-06,-3.681818181818181
4162,5326.0,-0.528,-4.087e-06,-3.715454545454545
4163,5327.0,-0.5345,-4.127e-06,-3.7518181818181815
4164,5329.0,-0.540875,-4.158e-06,-3.78
4165,5330.0,-0.54725,-4.162e-06,-3.7836363636363632
4166,5331.0,-0.553625,-4.115e-06,-3.7409090909090903
4167,5332.0,-0.56,-4.117e-06,-3.742727272727272
4168,5334.0,-0.5665,-4.191e-06,-3.81
4169,5335.0,-0.572875,-4.263e-06,-3.875454545454545
4170,5336.0,-0.57925,-4.359e-06,-3.962727272727272
4171,5338.0,-0.585625,-4.364e-06,-3.967272727272727
4172,5339.0,-0.592125,-4.347e-06,-3.9518181818181817
4173,5340.0,-0.5985,-4.416e-06,-4.014545454545454
4174,5341.0,-0.604875,-4.506e-06,-4.096363636363636
4175,5343.0,-0.61125,-4.644e-06,-4.221818181818182
4176,5344.0,-0.617625,-4.609e-06,-4.19
4177,5345.0,-0.624125,-4.61e-06,-4.1909090909090905
4178,5347.0,-0.6305,-4.649e-06,-4.226363636363636
4179,5348.0,-0.636875,-4.717e-06,-4.288181818181817
4180,5349.0,-0.64325,-4.822e-06,-4.383636363636364
4181,5350.0,-0.649625,-4.956e-06,-4.505454545454545
4182,5352.0,-0.656125,-4.91e-06,-4.463636363636363
4183,5353.0,-0.6625,-4.98e-06,-4.5272727272727264
4184,5354.0,-0.668875,-5.085e-06,-4.622727272727272
4185,5356.0,-0.67525,-5.252e-06,-4.7745454545454535
4186,5357.0,-0.68175,-5.481e-06,-4.982727272727272
4187,5358.0,-0.688125,-5.718e-06,-5.198181818181817
4188,5359.0,-0.6945,-5.804e-06,-5.276363636363636
4189,5361.0,-0.700875,-5.957e-06,-5.415454545454545
4190,5362.0,-0.70725,-6.158e-06,-5.598181818181818
4191,5363.0,-0.71375,-6.495e-06,-5.904545454545453
4192,5364.0,-0.720125,-6.871e-06,-6.246363636363635
4193,5366.0,-0.7265,-7.209e-06,-6.553636363636363
4194,5367.0,-0.732875,-7.37e-06,-6.699999999999999
4195,5368.0,-0.73925,-7.661e-06,-6.964545454545454
4196,5370.0,-0.74575,-8.04e-06,-7.309090909090908
4197,5371.0,-0.752125,-8.541e-06,-7.764545454545455
4198,5372.0,-0.7585,-9.156e-06,-8.323636363636364
4199,5373.0,-0.764875,-9.487e-06,-8.624545454545453
4200,5375.0,-0.77125,-9.714e-06,-8.83090909090909
4201,5376.0,-0.77775,-9.956e-06,-9.050909090909087
4202,5377.0,-0.784125,-1.04e-05,-9.454545454545451
4203,5379.0,-0.7905,-1.093e-05,-9.936363636363636
4204,5380.0,-0.796875,-1.155e-05,-10.499999999999998
4205,5381.0,-0.803375,-1.178e-05,-10.709090909090907
4206,5382.0,-0.80975,-1.187e-05,-10.79090909090909
4207,5384.0,-0.816125,-1.197e-05,-10.88181818181818
4208,5385.0,-0.8225,-1.219e-05,-11.08181818181818
4209,5386.0,-0.828875,-1.243e-05,-11.3
4210,5388.0,-0.835375,-1.266e-05,-11.509090909090908
4211,5389.0,-0.84175,-1.267e-05,-11.518181818181818
4212,5390.0,-0.848125,-1.226e-05,-11.145454545454545
4213,5391.0,-0.8545,-1.201e-05,-10.918181818181818
4214,5393.0,-0.860875,-1.188e-05,-10.8
4215,5394.0,-0.867375,-1.175e-05,-10.681818181818182
4216,5395.0,-0.87375,-1.166e-05,-10.6
4217,5396.0,-0.880125,-1.128e-05,-10.254545454545454
4218,5398.0,-0.8865,-1.089e-05,-9.9
4219,5399.0,-0.892875,-1.057e-05,-9.60909090909091
4220,5400.0,-0.899375,-1.038e-05,-9.436363636363636
4221,5402.0,-0.90575,-1.02e-05,-9.272727272727272
4222,5403.0,-0.912125,-1.005e-05,-9.136363636363637
4223,5404.0,-0.9185,-9.876e-06,-8.978181818181817
4224,5405.0,-0.925,-9.543e-06,-8.675454545454544
4225,5407.0,-0.931375,-9.314e-06,-8.467272727272727
4226,5408.0,-0.93775,-9.192e-06,-8.356363636363636
4227,5409.0,-0.944125,-9.093e-06,-8.266363636363636
4228,5411.0,-0.9505,-9.01e-06,-8.19090909090909
4229,5412.0,-0.957,-8.861e-06,-8.055454545454545
4230,5413.0,-0.963375,-8.638e-06,-7.852727272727272
4231,5414.0,-0.96975,-8.554e-06,-7.776363636363636
4232,5416.0,-0.976125,-8.522e-06,-7.747272727272727
4233,5417.0,-0.9825,-8.473e-06,-7.702727272727273
4234,5418.0,-0.989,-8.229e-06,-7.480909090909091
4235,5420.0,-0.995375,-8.141e-06,-7.40090909090909
4236,5421.0,-1.00175,-8.12e-06,-7.381818181818182
4237,5422.0,-1.008125,-8.071e-06,-7.337272727272726
4238,5423.0,-1.0145,-7.935e-06,-7.213636363636363
4239,5425.0,-1.021,-7.893e-06,-7.175454545454546
4240,5426.0,-1.027375,-7.799e-06,-7.089999999999999
4241,5427.0,-1.03375,-7.77e-06,-7.063636363636364
4242,5428.0,-1.040125,-7.735e-06,-7.03181818181818
4243,5430.0,-1.046625,-7.74e-06,-7.036363636363636
4244,5431.0,-1.053,-7.632e-06,-6.938181818181818
4245,5432.0,-1.059375,-7.547e-06,-6.86090909090909
4246,5434.0,-1.06575,-7.48e-06,-6.8
4247,5435.0,-1.072125,-7.472e-06,-6.792727272727272
4248,5436.0,-1.078625,-7.456e-06,-6.778181818181818
4249,5437.0,-1.085,-7.44e-06,-6.763636363636363
4250,5439.0,-1.091375,-7.404e-06,-6.7309090909090905
4251,5440.0,-1.09775,-7.261e-06,-6.60090909090909
4252,5441.0,-1.104125,-7.233e-06,-6.575454545454544
4253,5443.0,-1.110625,-7.221e-06,-6.564545454545455
4254,5444.0,-1.117,-7.222e-06,-6.5654545454545445
4255,5445.0,-1.123375,-7.175e-06,-6.522727272727272
4256,5446.0,-1.12975,-7.18e-06,-6.5272727272727264
4257,5448.0,-1.136125,-7.073e-06,-6.429999999999999
4258,5449.0,-1.142625,-6.991e-06,-6.355454545454545
4259,5450.0,-1.149,-6.989e-06,-6.353636363636364
